Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
24.0	0.38	0.49	0.54	0.79	0.72
24.1	0.29	0.53	0.47	0.75	0.72
24.2	0.42	0.8	0.52	0.94	0.72
24.3	0.26	0.72	0.41	0.78	0.77
24.4	0.51	0.74	0.31	0.81	0.77
24.5	0.56	0.66	0.59	0.71	0.75
24.6	0.56	0.64	0.53	0.76	0.69
24.7	0.48	0.66	0.59	0.83	0.72
24.8	0.31	0.44	0.49	0.76	0.69
24.9	0.3	0.73	0.46	0.85	0.72
25.0	0.41	0.66	0.62	0.77	0.75
25.1	0.4	0.76	0.5	0.83	0.72
25.2	0.32	0.8	0.61	0.72	0.75
25.3	0.48	0.69	0.57	0.88	0.69
25.4	0.44	0.61	0.41	0.84	0.73
25.5	0.54	0.98	0.6	0.84	0.74
25.6	0.32	0.89	0.74	0.84	0.69
25.7	0.76	0.8	0.96	0.78	0.76
25.8	0.7	0.8	0.92	0.6	0.78
25.9	0.69	0.78	0.83	0.7	0.63
26.0	0.52	0.82	0.59	0.77	0.75
26.1	0.56	0.64	0.63	0.64	0.71
26.2	0.58	0.68	0.61	0.6	0.68
26.3	0.61	0.77	0.7	0.64	0.73
26.4	0.72	0.85	0.79	0.7	0.7
26.5	0.5	0.82	0.55	0.81	0.74
26.6	0.62	0.88	0.66	0.62	0.72
26.7	0.7	0.83	0.42	0.58	0.7
26.8	0.52	0.67	0.76	0.52	0.71
26.9	0.62	0.45	0.55	0.57	0.72
27.0	0.56	0.62	0.67	0.85	0.72
27.1	0.64	0.53	0.63	0.77	0.75
27.2	0.59	0.43	0.83	0.82	0.7
27.3	0.59	0.79	0.74	0.79	0.7
27.4	0.63	0.58	0.64	0.55	0.73
27.5	0.77	0.63	0.79	0.81	0.69
27.6	0.74	0.65	0.9	0.54	0.65
27.7	0.52	0.63	0.84	0.77	0.73
27.8	0.45	0.52	0.72	0.77	0.5
27.9	0.54	0.71	0.86	0.77	0.75
28.0	0.45	0.67	0.85	0.79	0.75
28.1	0.45	0.73	0.58	0.8	0.83
28.2	0.5	0.73	0.62	0.74	0.75
28.3	0.63	0.9	0.93	0.42	0.67
28.4	0.71	0.83	0.92	0.48	0.68
28.5	0.64	0.85	0.95	0.53	0.72
28.6	0.73	0.8	0.77	0.51	0.7
28.7	0.71	0.87	0.88	0.42	0.81
28.8	0.64	0.45	0.77	0.74	0.72
28.9	0.68	0.77	0.76	0.85	0.74
