Time (ns)	RMSD_md1 (Å)	RMSD_md2 (Å)	RMSD_md3 (Å)	RMSD_md4 (Å)	RMSD_md5 (Å)
25.1	2.17	2.53	2.75	2.39	2.41
25.2	2.19	2.62	2.55	2.54	2.43
25.3	2.18	2.51	2.72	2.46	2.3
25.4	2.15	2.47	2.64	2.4	2.29
25.5	2.21	2.52	2.64	2.38	2.31
25.6	2.17	2.54	2.68	2.31	2.33
25.7	2.21	2.66	2.57	2.25	2.25
25.8	2.25	2.72	2.76	2.25	2.23
25.9	2.18	2.63	2.61	2.32	2.21
26.0	2.13	2.71	2.38	2.17	2.26
26.1	2.11	2.6	2.65	2.31	2.14
26.2	2.18	2.72	2.63	2.55	2.26
26.3	2.24	2.68	2.79	2.46	2.2
26.4	2.21	2.53	2.73	2.51	2.12
26.5	2.07	2.59	2.73	2.54	2.23
26.6	2.16	2.47	2.72	2.47	2.15
26.7	2.14	2.58	2.7	2.52	2.25
26.8	2.3	2.5	2.67	2.63	2.3
26.9	2.31	2.58	2.65	2.6	2.38
27.0	2.25	2.53	2.66	2.54	2.36
27.1	2.17	2.42	2.61	2.52	2.24
27.2	2.3	2.51	2.51	2.67	2.28
27.3	2.32	2.55	2.47	2.7	2.24
27.4	2.24	2.52	2.52	2.55	2.16
27.5	2.16	2.51	2.54	2.67	2.32
27.6	2.15	2.51	2.57	2.49	2.24
27.7	2.22	2.57	2.61	2.58	2.26
27.8	2.29	2.62	2.71	2.43	2.32
27.9	2.17	2.55	2.68	2.35	2.38
28.0	2.3	2.49	2.51	2.39	2.38
28.1	2.19	2.47	2.65	2.43	2.38
28.2	2.31	2.56	2.55	2.34	2.34
28.3	2.4	2.43	2.57	2.45	2.33
28.4	2.5	2.42	2.66	2.35	2.29
28.5	2.4	2.37	2.59	2.31	2.5
28.6	2.25	2.47	2.71	2.32	2.39
28.7	2.22	2.44	2.69	2.29	2.47
28.8	2.42	2.36	2.73	2.34	2.32
28.9	2.3	2.27	2.77	2.39	2.29
29.0	2.35	2.32	2.88	2.33	2.39
29.1	2.18	2.25	2.84	2.34	2.32
29.2	2.2	2.44	2.98	2.28	2.38
29.3	2.2	2.52	3.0	2.37	2.23
29.4	2.34	2.64	2.96	2.42	2.24
29.5	2.13	2.69	3.05	2.42	2.21
29.6	2.2	2.7	3.21	2.48	2.18
29.7	2.24	2.62	2.93	2.5	2.13
29.8	2.23	2.79	2.79	2.49	2.17
29.9	2.22	2.93	2.92	2.63	2.13
30.0	2.19	2.94	2.78	2.71	2.31
30.1	2.22	2.92	2.73	2.71	2.37
30.2	2.16	2.69	2.6	2.77	2.13
30.3	2.16	2.63	2.72	2.86	2.24
30.4	2.21	2.65	2.58	2.7	2.26
30.5	2.3	2.63	2.57	2.79	2.42
30.6	2.26	2.73	2.5	2.66	2.36
30.7	2.34	2.83	2.48	2.59	2.25
30.8	2.29	2.78	2.57	2.65	2.24
30.9	2.3	2.74	2.49	2.71	2.16
31.0	2.27	2.82	2.38	2.6	2.16
31.1	2.3	2.77	2.35	2.56	2.15
31.2	2.29	2.76	2.63	2.54	2.13
